Artist and Title,Days,T10,Pk,(x?),PkStreams,Total
The Weeknd-Blinding Lights,2040,446,1,(x82),"8,453,567","4,821,495,064"
Harry Styles-As It Was,1181,426,1,(x81),"16,103,849","3,881,679,744"
Ed Sheeran-Shape of You,2560,237,1,(x98),"9,878,194","3,840,683,196"
Lewis Capaldi-Someone You Loved,2247,107,4,,"3,974,554","3,726,017,096"
Post Malone-Sunflower - Spider-Man: Into the Spider-Verse,2243,213,1,(x16),"5,033,261","3,532,117,592"
The Kid LAROI-Stay,1231,299,1,(x84),"10,629,302","3,270,048,970"
The Neighbourhood-Sweater Weather,1859,,14,,"3,342,205","3,245,996,286"
Billie Eilish-lovely,2601,,19,,"2,085,328","3,245,695,538"
Imagine Dragons-Believer,2884,,15,,"2,572,100","3,227,705,807"
Ed Sheeran-Perfect,2815,102,3,(x1),"3,690,839","3,179,180,091"
The Weeknd-Starboy,1834,145,1,(x40),"5,125,218","3,164,307,962"
Glass Animals-Heat Waves,1338,258,1,(x65),"5,003,951","2,976,232,104"
Billie Eilish-BIRDS OF A FEATHER,413,408,1,(x25),"10,082,989","2,717,739,128"
Drake-One Dance,1876,187,1,(x101),"7,196,287","2,715,294,638"
Tom Odell-Another Love,1539,,11,,"3,052,832","2,655,408,924"
Lady Gaga-Die With A Smile,322,320,1,(x201),"11,621,474","2,645,332,135"
Arctic Monkeys-I Wanna Be Yours,1093,,11,,"3,186,952","2,607,144,194"
Harry Styles-Watermelon Sugar,1562,127,4,,"4,321,515","2,596,179,813"
James Arthur-Say You Won't Let Go,2454,97,6,,"2,817,950","2,557,247,208"
Taylor Swift-Cruel Summer,878,257,2,(x18),"5,405,688","2,512,860,134"
Tones And I-Dance Monkey,1048,286,1,(x120),"8,928,593","2,508,984,101"
Miley Cyrus-Flowers,802,179,1,(x82),"18,424,325","2,455,861,051"
SZA-Kill Bill,847,174,1,(x20),"8,455,200","2,413,507,519"
Coldplay-Yellow,1648,,15,,"3,078,369","2,373,663,308"
Sabrina Carpenter-Espresso,448,224,1,(x32),"11,692,253","2,332,649,120"
Vance Joy-Riptide,2327,,16,,"2,526,786","2,274,492,520"
The Chainsmokers-Something Just Like This,1852,86,2,(x14),"4,937,390","2,252,248,742"
Benson Boone-Beautiful Things,532,218,1,(x35),"9,256,894","2,243,668,531"
The Weeknd-Die For You,1279,2,9,,"3,554,197","2,242,075,291"
Jung Kook-Seven,720,153,1,(x71),"17,902,017","2,200,474,256"
Dua Lipa-Don't Start Now,1152,235,2,(x7),"6,100,930","2,095,889,464"
Post Malone-rockstar,1208,185,1,(x114),"7,156,650","2,052,310,834"
Shawn Mendes-Señorita,1021,170,1,(x102),"9,936,178","2,046,655,077"
OneRepublic-Counting Stars,2242,,31,,"1,717,699","2,021,585,790"
The Chainsmokers-Closer,1602,191,1,(x82),"6,875,523","2,008,373,255"
Hozier-Take Me To Church,2075,139,1,(x30),"2,140,282","1,973,927,611"
Elton John-Cold Heart - PNAU Remix,1007,199,2,(x1),"5,699,348","1,969,714,892"
Manuel Turizo-La Bachata,853,173,3,(x3),"4,806,467","1,936,624,976"
Lord Huron-The Night We Met,1067,,15,,"3,221,586","1,919,795,012"
Travis Scott-goosebumps,1954,1,10,,"3,297,928","1,919,311,891"
Juice WRLD-Lucid Dreams,1426,110,2,(x6),"5,544,528","1,896,783,804"
Post Malone-Circles,1187,131,1,(x3),"7,292,777","1,887,977,040"
Billie Eilish-bad guy,948,169,1,(x41),"7,220,348","1,886,176,467"
David Guetta-I'm Good (Blue),809,144,1,(x1),"6,863,607","1,870,197,518"
The Weeknd-One Of The Girls,635,80,2,(x2),"5,073,947","1,850,588,120"
Mariah Carey-All I Want for Christmas Is You,562,238,1,(x79),"24,863,570","1,831,225,367"
Arctic Monkeys-505,1278,,40,,"1,987,531","1,821,256,691"
Teddy Swims-Lose Control,596,57,5,,"5,154,184","1,805,463,719"
Eminem-Without Me,1437,,29,,"2,404,685","1,785,877,964"
Tate McRae-greedy,613,206,1,(x34),"6,282,050","1,782,058,354"
The Weeknd-Save Your Tears,1188,89,2,(x28),"5,000,774","1,763,355,323"
ROSÉ-APT.,259,251,1,(x28),"14,596,132","1,739,639,112"
Lady Gaga-Shallow,1266,79,2,(x6),"5,451,577","1,716,595,020"
Jimin-Who,350,188,1,(x20),"10,674,703","1,702,900,242"
The Police-Every Breath You Take,1358,,34,,"2,511,962","1,697,386,474"
"Tyler, The Creator-See You Again",852,,13,,"3,276,823","1,680,888,558"
Coldplay-Viva La Vida,1070,,27,,"2,811,786","1,680,775,584"
OneRepublic-I Ain't Worried,797,53,7,,"3,861,127","1,664,385,796"
FloyyMenor-Gata Only,508,148,2,(x1),"8,628,580","1,651,530,121"
Ruth B.-Dandelions,1192,,32,,"1,772,730","1,632,768,311"
Lil Nas X-INDUSTRY BABY,564,275,2,(x61),"8,808,346","1,629,821,771"
Bruno Mars-Locked out of Heaven,1317,,21,,"2,951,846","1,624,328,612"
Olivia Rodrigo-good 4 u,549,121,1,(x47),"12,586,645","1,622,311,439"
Adele-Easy On Me,801,152,1,(x47),"19,749,704","1,607,515,051"
Bad Bunny-Me Porto Bonito,576,176,2,(x5),"8,738,392","1,606,842,723"
"Chappell Roan-Good Luck, Babe!",451,133,5,,"6,303,841","1,602,278,859"
Olivia Rodrigo-drivers license,692,112,1,(x67),"13,714,177","1,595,963,086"
Dua Lipa-Levitating,812,80,4,,"4,626,710","1,581,427,006"
Ed Sheeran-Photograph,2099,,13,,"1,730,970","1,568,825,901"
The Walters-I Love You So,1102,,18,,"2,139,814","1,564,994,850"
Hozier-Too Sweet,469,91,2,(x10),"8,742,996","1,559,841,954"
Kendrick Lamar-Not Like Us,424,116,1,(x10),"12,809,644","1,548,479,145"
Ariana Grande-7 rings,1000,112,1,(x68),"10,445,538","1,527,094,696"
Wham!-Last Christmas,502,183,2,(x57),"24,556,791","1,516,038,886"
