channel Name,subscribers,views,total Videos,SheetName
ONE OK ROCK,4580000,2087670406,309,Channel
SPYAIR Official YouTube Channel,593000,427144185,101,Channel
Uru Official YouTube Channel,1040000,684194238,218,Channel
Ruppina - Topic,764,1247685,54,Channel
Perfume,1060000,753815145,318,Channel
FUNKY MONKEY BΛBY'S,59300,49566720,61,Channel
YUI OFFICIAL YouTube CHANNEL,321000,143077569,48,Channel
澤野弘之 / SawanoHiroyuki[nZk],907000,809223091,131,Channel
酸欠少女 さユり(Sanketsu-girl Sayuri),667000,203475158,45,Channel
milet Official YouTube Channel,745000,433250055,123,Channel
HKT48,260000,134120391,1246,Channel
BUMP OF CHICKEN,1460000,1339377126,111,Channel
Mr.Children Official Channel,1560000,1536143616,165,Channel
コブクロ 公式チャンネル,316000,508623641,358,Channel
秦 基博,201000,229142930,257,Channel
女王蜂 / QUEEN BEE official YouTube channel,706000,288760760,115,Channel
茉ひる【まひる】,76100,23889148,95,Channel
BABYMETAL,3020000,831957640,226,Channel
アイナ・ジ・エンド Official,240000,63768647,92,Channel
SCANDAL,608000,185850897,118,Channel
AAA,324000,137329516,290,Channel
LiSA Official YouTube,2550000,1210519494,242,Channel
由薫 YU-KA,55500,36275216,291,Channel
藤川千愛,137000,67674285,94,Channel
中島美嘉 Official YouTube Channel,381000,283796483,160,Channel
Goose house,2510000,1490081875,771,Channel
Mrs. GREEN APPLE,3490000,2504148571,323,Channel
GRe4N BOYZ,867000,755854254,296,Channel
安斉かれん,16100,7142233,70,Channel
有華 Official YouTube Channel,175000,85000020,267,Channel
SEKAI NO OWARI,1940000,1408392871,52,Channel
coldrain,199000,80064563,80,Channel
緑黄色社会,790000,530881501,116,Channel
AYANE Official Channel,81300,23487274,257,Channel
Kalafina Official YouTube Channel,267000,148399239,27,Channel
倖田來未,256000,200251792,269,Channel
Ado,6720000,3390945824,294,Channel
EGOIST Official YouTube Channel,527000,167392740,28,Channel
NGT48,92100,40233221,406,Channel
ASCA Official YouTube Channel,119000,57747799,100,Channel
RADWIMPS,2960000,2299416999,416,Channel
back number,1520000,1525117258,58,Channel
King Gnu official YouTube channel,2540000,1882774803,44,Channel
Little By Little - Topic,1410,9172398,62,Channel
Reol Official,1670000,1022848139,92,Channel
和楽器バンド * WagakkiBand,402000,103891877,102,Channel
Kenshi Yonezu  米津玄師,7170000,5766894814,148,Channel
m-flo,206000,248393875,137,Channel
Akeboshi - Topic,19400,19695020,121,Channel
Ayase / YOASOBI,6660000,4536148800,211,Channel
FlowerVEVO,4510,1652402,6,Channel
krage Official YouTube Channel ,32200,13422033,21,Channel
Hikaru Utada,2140000,1261556983,215,Channel
JUJU Official YouTube Channel,433000,396411626,262,Channel
FLOW Official YouTube Channel,721000,427370999,388,Channel
ヒグチアイ,228000,203769316,220,Channel
CHiCO / CHiCO with HoneyWorks,577000,190865435,67,Channel
LittleGleeMonsterYT,609000,408124377,219,Channel
AKB48,2640000,2352352449,1887,Channel
majiko / まじ娘 OFFICIAL CHANNEL,554000,114165034,137,Channel
Aimer Official YouTube Channel,2100000,1328727528,167,Channel
BiSH,467000,465652733,245,Channel
GIRLFRIEND,139000,24622522,97,Channel
sajou no hana Official YouTube Channel,60700,24582419,73,Channel
ヨルシカ / n-buna Official,3020000,2095697694,63,Channel
BURNOUT SYNDROMES Official YouTube Channel,218000,90897018,71,Channel
MIYAVI,392000,119987700,170,Channel
幾田りら Official,790000,163276688,19,Channel
家入レオ,283000,214382557,223,Channel
野田愛実,236000,63143492,573,Channel
AliA OFFICIAL,333000,155342342,69,Channel
ayu,669000,730088321,679,Channel
lunaharunaVEVO,165000,56277852,11,Channel
BLUE ENCOUNT Official YouTube Channel,246000,176843428,106,Channel
安田レイ Official YouTube Channel,108000,66782106,188,Channel
いきものがかり Official YouTube Channel,666000,417751672,62,Channel
花譜 -KAF-,1000000,309196252,404,Channel
美波,1440000,478118771,12,Channel
GARNiDELiA,940000,422715865,105,Channel
SevenOopsVEVO,270000,97984121,6,Channel
Official髭男dism,3340000,3249529612,132,Channel
mwamjapan,667000,383346886,61,Channel
miwa official YouTube channel,181000,132311309,110,Channel
Eve,4950000,2662679493,114,Channel
大原櫻子,235000,102595942,89,Channel
DoAsInfinityCh,41000,23307470,19,Channel
yama,1130000,619176511,58,Channel
西野カナ Official YouTube Channel,796000,776477747,192,Channel
TRUE Official Channel,82800,46500759,38,Channel
ReoNa official YouTube channel,436000,156033068,84,Channel
Qaijff (クアイフ),36000,2909939,45,Channel
藍井エイル Official YouTube Channel,485000,125070025,127,Channel
KANA-BOON Official YouTube Channel,861000,497898487,46,Channel
