Id,Artist,Title,Description,Tags,publishedAt,View,Like,CommentCount,pushblishDayName,Duration,SheetName
UoRNyMZAzd4,GReeeeN,Hello Kagerou,"Provided to YouTube by Universal Music Group

Hello Kagerou · GReeeeN

To All Sports Lovers

℗ A ZEN MUSIC release; ℗ 2018 UNIVERSAL MUSIC LLC

Released on: 2023-11-23

Associated  Performer, Recording  Arranger, Producer: JIN
Associated  Performer, Recording  Arranger: Shunsuke Tsuri
Composer  Lyricist: GReeeeN

Auto-generated by YouTube.","['GReeeeN', 'グリーン', 'To All Sports Lovers', 'Hello Kagerou']",2023-11-22 10:19:56,10757,38,1,Wednesday,0.00310185185185185,Song
GIIgh-UgaEg,GReeeeN,Setsuna,"Provided to YouTube by Universal Music Group

Setsuna · GReeeeN

To All Sports Lovers

℗ 2009 NAYUTAWAVE RECORDS, a division of UNIVERSAL MUSIC LLC

Released on: 2023-11-23

Producer: GReeeeN
Composer  Lyricist: GReeeeN

Auto-generated by YouTube.","['GReeeeN', 'グリーン', 'To All Sports Lovers', 'Setsuna']",2023-11-22 10:19:09,94026,205,1,Wednesday,0.00332175925925926,Song
YSqPrGGOGIg,GReeeeN,Tookuno Sora Yubi Sasunda,"Provided to YouTube by Universal Music Group

Tookuno Sora Yubi Sasunda · GReeeeN

To All Sports Lovers

℗ 2016 ZEN MUSIC, a division of UNIVERSAL MUSIC LLC

Released on: 2023-11-23

Composer  Lyricist: GReeeeN
Arranger, Work  Arranger: JIN

Auto-generated by YouTube.","['GReeeeN', 'グリーン', 'To All Sports Lovers', 'Tookuno Sora Yubi Sasunda']",2023-11-22 10:19:09,10652,78,3,Wednesday,0.00233796296296296,Song
owqRa7lQes0,GReeeeN,460 -Your Song-,"Provided to YouTube by Universal Music Group

460 -Your Song- · GReeeeN

To All Sports Lovers

℗ A ZEN MUSIC release; ℗ 2019 UNIVERSAL MUSIC LLC

Released on: 2023-11-23

Associated  Performer, Recording  Arranger, Producer: JIN
Associated  Performer, Vocals: HIDE
Associated  Performer, Vocals, Guitar: navi
Associated  Performer, Vocals: 92
Associated  Performer, Vocals: SOH
Associated  Performer, Guitar: tatsu
Associated  Performer, Drums: Atsuyuk!
Associated  Performer, Bass  Guitar: Satoshi Hanamura
Composer  Lyricist: GReeeeN

Auto-generated by YouTube.","['GReeeeN', 'グリーン', 'To All Sports Lovers', '460 -Your Song-']",2023-11-22 10:19:05,13281,73,1,Wednesday,0.00289351851851852,Song
GwiNQGyKV4s,GReeeeN,Michi,"Provided to YouTube by Universal Music Group

Michi · GReeeeN

To All Sports Lovers

℗ 2007 NAYUTAWAVE RECORDS, a division of UNIVERSAL MUSIC LLC

Released on: 2023-11-23

Producer, Associated  Performer, Recording  Arranger: JIN
Composer  Lyricist: GReeeeN

Auto-generated by YouTube.","['GReeeeN', 'グリーン', 'To All Sports Lovers', 'Michi']",2023-11-22 10:19:03,13098,54,3,Wednesday,0.0028587962962963,Song
BYhXGvo5tP4,GReeeeN,Believe,"Provided to YouTube by Universal Music Group

Believe · GReeeeN

To All Sports Lovers

℗ 2015 ZEN MUSIC, a division of UNIVERSAL MUSIC LLC

Released on: 2023-11-23

Composer  Lyricist: GReeeeN
Arranger, Work  Arranger: Shigeo Aoki
Arranger, Work  Arranger: JIN

Auto-generated by YouTube.","['GReeeeN', 'グリーン', 'To All Sports Lovers', 'Believe']",2023-11-22 10:18:47,17918,91,3,Wednesday,0.00336805555555556,Song
Fs8hToIqcCw,GReeeeN,Cho Kaze,"Provided to YouTube by Universal Music Group

Cho Kaze · GReeeeN

To All Sports Lovers

℗ A ZEN MUSIC release; ℗ 2018 UNIVERSAL MUSIC LLC

Released on: 2023-11-23

Associated  Performer, Recording  Arranger, Producer: JIN
Composer  Lyricist: GReeeeN

Auto-generated by YouTube.","['GReeeeN', 'グリーン', 'To All Sports Lovers', 'Cho Kaze']",2023-11-22 10:18:29,9453,44,2,Wednesday,0.00248842592592593,Song
-RO8QeLuawU,GReeeeN,Kiseki,"Provided to YouTube by Universal Music Group

Kiseki · GReeeeN

To All Sports Lovers

℗ 2008 UNIVERSAL MUSIC LLC

Released on: 2023-11-23

Producer, Associated  Performer, Vocals: GReeeeN
Associated  Performer, Recording  Arranger: JIN
Composer  Lyricist: GReeeeN

Auto-generated by YouTube.","['GReeeeN', 'グリーン', 'To All Sports Lovers', 'Kiseki']",2023-11-22 10:18:20,14925,70,1,Wednesday,0.00314814814814815,Song
t8BbcduOI-A,GReeeeN,Green Boys,"Provided to YouTube by Universal Music Group

Green Boys · GReeeeN

To All Sports Lovers

℗ 2011 NAYUTAWAVE RECORDS, a division of UNIVERSAL MUSIC LLC

Released on: 2023-11-23

Composer  Lyricist: GReeeeN
Arranger, Work  Arranger: JIN

Auto-generated by YouTube.","['GReeeeN', 'グリーン', 'To All Sports Lovers', 'Green Boys']",2023-11-22 10:18:07,17465,98,2,Wednesday,0.00268518518518518,Song
xMCu5J3doTQ,GReeeeN,Bokurano Monogatari,"Provided to YouTube by Universal Music Group

Bokurano Monogatari · GReeeeN

To All Sports Lovers

℗ 2013 NAYUTAWAVE RECORDS, a division of UNIVERSAL MUSIC LLC

Released on: 2023-11-23

Associated  Performer, Recording  Arranger: JIN
Producer: GReeeeN
Composer  Lyricist: GReeeeN

Auto-generated by YouTube.","['GReeeeN', 'グリーン', 'To All Sports Lovers', 'Bokurano Monogatari']",2023-11-22 10:17:33,9351,31,1,Wednesday,0.00290509259259259,Song
