File name,Title,Genre,Composer or artist?,Sampling rate,Channels,Bit depth,Start in video (sec),Duration (sec),Original file,Last called (date),Collection,Observations,Nr. of instruments,Guitar,Bandola,Tiple,Bass,Female Voice,Male Voice,Percussion,Tempo,Language,Artist/Performer,Noise at 64 Hz,Noise at 128 Hz
ifyt_0001,Bacatá,Bambuco,Francisco Cristancho Camargo,48000,2,16,3,54,https://www.youtube.com/watch?v=Mdrbcg2u6ew,15.06.2020,YouTube,,1,0,1,0,0,0,0,0,,,,0,0
ifyt_0002,Guabina de los tres,,Oriol Caro,48000,2,16,19,30,https://www.youtube.com/watch?v=tHv7ZwF5rrU,17.06.2020,YouTube,,1,0,0,1,0,0,0,0,,,,0,0
ifyt_0003,El Jardin - Preludio,,Oriol Caro,48000,2,16,28,37,https://www.youtube.com/watch?v=DSl4E21CqDQ,17.06.2020,YouTube,,1,0,0,1,0,0,0,0,,,,0,0
ifyt_0004,Michel,Pasillo,Gentíl Montaña,48000,2,16,10,44,https://www.youtube.com/watch?v=2T-iY-UFojQ,17.06.2020,YouTube,,1,0,1,0,0,0,0,0,,,,0,0
ifyt_0005,Pajarillo,,José de Londres,48000,2,16,0,29,https://www.youtube.com/watch?v=l899uyxfL0s,17.06.2020,YouTube,,1,0,1,0,0,0,0,0,,,,0,0
ifyt_0006,Amanecer,Bambuco,Gentíl Montaña,48000,2,16,0,44,https://www.youtube.com/watch?v=Zms8iYwtuB8,17.06.2020,YouTube,,1,1,0,0,0,0,0,0,,,,0,0
ifyt_0007,Lina linda,Pasillo,Miguel Bocanegra,48000,2,16,33,32,https://www.youtube.com/watch?v=41184CSKBGY,17.06.2020,YouTube,,1,0,1,0,0,0,0,0,,,,0,0
ifyt_0008,Alfonsina y el mar,,Ariel Ramirez,48000,2,16,16,39,https://www.youtube.com/watch?v=PX8e0IvvS2E,17.06.2020,YouTube,,1,1,0,0,0,0,0,0,,,,0,0
ifyt_0009,Canto a Carora,,Silvio Martínez,48000,2,16,0,42,https://www.youtube.com/watch?v=bxl66pvvlGY,08.07.2020,YouTube,,1,1,0,0,0,0,0,0,,,,0,0
ifyt_0010,El Cucarrón,Pasillo,Katherine Lasso y Juan Carlos Guio,48000,2,16,27,35,https://www.youtube.com/watch?v=Ur4YciSNL2Q,15.06.2020,YouTube,,2,1,1,0,0,0,0,0,,,,0,0
ifyt_0011,Mismis,,Pedronel Martinez,48000,2,16,0,40,https://www.youtube.com/watch?v=cF-DmCqE9iA,17.06.2020,YouTube,,2,0,0,2,0,0,0,0,,,,0,0
ifyt_0012,El Escandaloso,Pasillo,Gerardo Rangel,48000,2,16,52,43,https://www.youtube.com/watch?v=AJPQMe6oEKA,17.06.2020,YouTube,,2,1,1,0,0,0,0,0,,,,0,0
ifyt_0013,Romerías,Pasillo,Aristides Romero,48000,2,16,21,45,https://www.youtube.com/watch?v=t4FInLnR6Ek,17.06.2020,YouTube,,2,1,1,0,0,0,0,0,,,,0,0
ifyt_0014,La Canción del Soñador,Pasillo,Gentil Montaña,48000,2,16,3,38,https://www.youtube.com/watch?v=XvnwLI153eM,08.07.2020,YouTube,,2,1,1,0,0,0,0,0,,,,0,0
ifyt_0015,Ambar,Bambuco,Juan Carlos Guio,48000,2,16,65,49,https://www.youtube.com/watch?v=n6jTkRrh4Cg,08.07.2020,YouTube,,2,1,1,0,0,0,0,0,,,,0,0
ifyt_0016,Bacatá,Bambuco,Francisco Cristancho,48000,2,16,11,30,https://www.youtube.com/watch?v=jAPsvGVmGIE,08.07.2020,YouTube,,2,0,2,0,0,0,0,0,,,,0,0
ifyt_0017,Acuarela,Pasillo,Trío Alma Bogotana,48000,2,16,0,36,https://www.youtube.com/watch?v=uffTkHabqdY,15.06.2020,YouTube,,3,1,1,1,0,0,0,0,,,,0,0
ifyt_0018,El Condenillo ,Bambuco,Trío Bacatá,48000,2,16,0,36,https://www.youtube.com/watch?v=26ijUn5FDKA,15.06.2020,YouTube,,3,1,1,1,0,0,0,0,,,,0,0
ifyt_0019,Contra las piedras,Bambuco,3-2-1 Trío,48000,2,16,2,42,https://www.youtube.com/watch?v=lnfJ9rIusys,15.06.2020,YouTube,,3,1,1,1,0,0,0,0,,,,0,0
ifyt_0020,El parrandista,Bambuco,Fabián Forero Trío,48000,2,16,1,37,https://www.youtube.com/watch?v=E-ZR6c6V8-c,15.06.2020,YouTube,,3,1,1,1,0,0,0,0,,,,0,0
ifyt_0021,Atardecer Bogotano,Pasillo,Carlos Rozo,48000,2,16,57,30,https://www.youtube.com/watch?v=Ow_RPfzmqTY,17.06.2020,YouTube,,3,1,1,1,0,0,0,0,,,,0,0
ifyt_0022,Diana,,Gentil Montaña,48000,2,16,1,43,https://www.youtube.com/watch?v=2DlAV7MuGI8,17.06.2020,YouTube,,3,1,1,1,0,0,0,0,,,,0,0
ifyt_0023,Brisas de Pamplonita,Bambuco,Elías Mauricio Soto,48000,2,16,0,37,https://www.youtube.com/watch?v=Jbey9Bpo260,17.06.2020,YouTube,,3,1,1,1,0,0,0,0,,,,0,0
ifyt_0024,La Gata Golosa,Pasillo,Fulgencio Garcia,48000,2,16,8,42,https://www.youtube.com/watch?v=6lFQ6a_GdQY,08.07.2020,YouTube,,3,1,1,1,0,0,0,0,,,,0,0
ifyt_0025,Cachipay,Pasillo,Anonimo,48000,2,16,2,33,https://www.youtube.com/watch?v=ZZzA_cmFD5A,08.07.2020,YouTube,,3,1,1,1,0,0,0,0,,,,0,0
ifyt_0026,Chaflán,Pasillo,,48000,2,16,19,39,https://www.youtube.com/watch?v=YAfkFPtgvP0,08.07.2020,YouTube,,3,1,1,1,0,0,0,0,,,,0,0
ifyt_0027,Tierra Colombiana,Pasillo,Oriol Rangel,48000,2,16,20,40,https://www.youtube.com/watch?v=mOS4uF5amHs,17.06.2020,YouTube,,4,1,2,1,0,0,0,0,,,,0,0
