Filename,Title,Genre,Composer,Sampling rate,Channels,Bit depth,Start in video (sec),Duration (sec),Original File,Last called (Date),Collection,Observations,Number of instruments,Guitar,Bandola,Tiple,Bass,Female voice,Male voice,Percussion,Tempo,Language,Artist/Performer
speech_0001.wav,Cuales son las Causas de los incendios forestales,,,48000,2,16,5,36,https://www.youtube.com/watch?v=8OZxO6X2F8Y,21.04.2020,YouTube,,0,,,,,1,0,,,1,
speech_0002.wav,"Como se hizo ""Frontera verde"" la nueva seria de Netflix",,,48000,2,16,33,55,https://www.youtube.com/watch?v=u0Vr8m3XBy8,21.04.2020,YouTube,,0,,,,,2,0,,,1,
speech_0003.wav,Declaracion presidente Duque reunion bilateral con Mike Pompeo 20 de enero,,,48000,2,16,542,61,https://www.youtube.com/watch?v=30QhG3joudc,21.04.2020,YouTube,,0,,,,,0,1,,,1,
speech_0004.wav,El libro que todos mencionan cuando piensan en cartagena,,,48000,2,16,0,59,https://www.youtube.com/watch?v=P5V20802488,21.04.2020,YouTube,,0,,,,,1,4,,,1,
speech_0005.wav,Gobierno contempla reforma tributaria por impacto economico del coronavirus,,,48000,2,16,12,31,https://www.youtube.com/watch?v=BjHAeKJ-mpA,21.04.2020,YouTube,,0,,,,,1,0,,,1,
speech_0006.wav,Investigan cómo se contagió de coronavirus la mujer de 74 años que falleció en Córdoba,,,48000,2,16,17,55,https://www.youtube.com/watch?v=S-mCGZuFUeQ,21.04.2020,YouTube,,0,,,,,0,1,,,1,
speech_0007.wav,No era una joroba: vea lo que llevaba en la espalda este sujeto que capturaron,,,48000,2,16,0,30,https://www.youtube.com/watch?v=th_P2iI4eKY,21.04.2020,YouTube,,0,,,,,0,1,,,1,
speech_0008.wav,Todo lo que vemos - 556 - Televidente - Martha Lucía Reyes,,,48000,2,16,36,40,https://www.youtube.com/watch?v=gcdF4sLthII,21.04.2020,YouTube,,0,,,,,1,0,,,1,
speech_0009.wav,Testigo en caso de Aída Merlano denunció que lo quieren asesinar | Noticias Caracol,,,48000,2,16,41,52,https://www.youtube.com/watch?v=DA4wMplDReA,21.04.2020,YouTube,,0,,,,,0,2,,,1,
speech_0010.wav,Turismo en el Pacífico | Conoce Nuquí, Bahía Solano y Buenaventura,,,48000,2,16,5,48,https://www.youtube.com/watch?v=3qwf1jH0vmQ,21.04.2020,YouTube,,0,,,,,1,0,,,1,
speech_0011.wav,Héctor Abad Faciolince - Entrevista,,,48000,2,16,8,49,https://www.youtube.com/watch?v=Tv-b6CaERY8,21.04.2020,YouTube,,0,,,,,0,1,,,1,
speech_0012.wav,Los Sonidos del pueblo Yanacona,,,48000,2,16,81,49,https://www.youtube.com/watch?v=ZsQquUGtZT8,21.04.2020,YouTube,,0,,,,,0,1,,,1,
speech_0013.wav,Resiliencia y manejo del estrés Policial- policiadecolombia,,,48000,2,16,4,55,https://www.youtube.com/watch?v=lK6WKzjMJnw,21.04.2020,YouTube,,0,,,,,0,1,,,1,
speech_0014.wav,Presidente Iván Duque durante la sanción de la Ley de la panela - 2 de diciembre de 2019,,,48000,2,16,16,55,https://www.youtube.com/watch?v=kA6HcHlKp5g,21.04.2020,YouTube,,0,,,,,0,1,,,1,
speech_0015.wav,Vocación Policial 26 de marzo 2020- policiadecolombia,,,48000,2,16,16,55,https://www.youtube.com/watch?v=l6D7GwcWON8,21.04.2020,YouTube,,0,,,,,0,1,,,1,
speech_0016.wav,GUAJIRA, cultura wayúu,,,48000,2,16,64,36,https://www.youtube.com/watch?v=ONvzWE9JyDg,21.04.2020,YouTube,,0,,,,,2,0,,,1,
speech_0017.wav,En la lengua wayuunaiki el perdón no existe,,,48000,2,16,5,47,https://www.youtube.com/watch?v=9EZaa7e7aSs,24.04.2020,YouTube,,0,,,,,0,1,,,1,
speech_0018.wav,“Por primera vez un gobierno pone toda la atención sobre las industrias creativas”| BAM,,,48000,2,16,2,66,https://www.youtube.com/watch?v=52MaeLdwFaM,24.04.2020,YouTube,,0,,,,,1,0,,,1,
speech_0019.wav,¿Qué beneficios otorga la #EconomíaNaranja para el sector creativo? | Mincultura,,,48000,2,16,9,47,https://www.youtube.com/watch?v=ovnpkyAGUPQ,24.04.2020,YouTube,,0,,,,,0,1,,,1,
speech_0020.wav,¡Visita el Bogotá Audiovisual Market! | Mincultura,,,48000,2,16,0,53,https://www.youtube.com/watch?v=0NfumvUltxI,24.04.2020,YouTube,,0,,,,,1,0,,,1,
speech_0021.wav,Homenaje a las #MujeresIndígenas| Mincultura,,,48000,2,16,57,45,https://www.youtube.com/watch?v=hkHWm1GD55w,24.04.2020,YouTube,,0,,,,,1,0,,,1,
speech_0022.wav,Las mujeres indígenas nos hablan en su lengua materna | Mincultura,,,48000,2,16,59,36,https://www.youtube.com/watch?v=wMyIvZXCVw8,24.04.2020,YouTube,,0,,,,,1,0,,,1,
speech_0023.wav,Lenguas Indígenas en Colombia,,,48000,2,16,5,46,https://www.youtube.com/watch?v=kUCIbbRjA_I,24.04.2020,YouTube,,0,,,,,2,0,,,1,
speech_0024.wav,27 días de esfuerzos garantizando el derecho a la protesta social - policiadecolombia,,,48000,2,16,123,34,https://www.youtube.com/watch?v=iEG143pzFDM,24.04.2020,YouTube,,0,,,,,0,2,,,1,
speech_0025.wav,Frontera Verde: la primera serie de Netflix en la Amazonia,,,48000,2,16,39,58,https://www.youtube.com/watch?v=TLOmAWt0fVk,24.04.2020,YouTube,,0,,,,,2,0,,,1,
speech_0026.wav,#RadioNacional77 La familia de Greiif, parte de nuestra historia.,,,48000,2,16,47,60,https://www.youtube.com/watch?v=f06JiNcqhSI,24.04.2020,YouTube,,0,,,,,1,0,,,1,
speech_0027.wav,Contacto Directo: Maltrato psicológico y emocional,,,48000,2,16,28,61,https://www.youtube.com/watch?v=uosFrQRjlho,24.04.2020,YouTube,,0,,,,,2,0,,,1,
speech_0028.wav,“Estoy afuera porque me gusta el traguito”: irresponsable no acató la cuarentena en Bogotá,,,48000,2,16,0,49,https://www.youtube.com/watch?v=oBMaUH2L0uI,24.04.2020,YouTube,,0,,,,,0,2,,,1,
speech_0029.wav,¿Por qué se podría extender la cuarentena en Colombia después del 13 de abril?,,,48000,2,16,10,60,https://www.youtube.com/watch?v=YRB3ZqCiwww,24.04.2020,YouTube,,0,,,,,1,0,,,1,
speech_0030.wav,"""El gobierno que hoy empezamos es de coalición ciudadana"": alcaldesa Claudia López",,,48000,2,16,3,57,https://www.youtube.com/watch?v=N0nVOITwcQY,24.04.2020,YouTube,,0,,,,,1,0,,,1,
speech_0031.wav,Aída Merlano | Las reveladoras declaraciones que enlodaron a Uribe,,,48000,2,16,4,42,https://www.youtube.com/watch?v=SjwZnWxd8UY,11.05.2020,YouTube,,0,,,,,1,0,,,1,
speech_0032.wav,“Hay que pasar a la acción”: Gunter Pauli sobre cómo afrontar crisis económica luego del COVID-19,,,48000,2,16,64,51,https://www.youtube.com/watch?v=YuLPZhTZrxw,29.04.2020,YouTube,,0,,,,,0,1,,,1,
speech_0033.wav,Coronavirus | Reapertura económica en Colombia,,,48000,2,16,5,42,https://www.youtube.com/watch?v=y6qWj2ompyg,29.04.2020,YouTube,,0,,,,,1,0,,,1,
speech_0034.wav,5 consejos para mantener activa a tu mascota en cuarentena,,,48000,2,16,3,55,https://www.youtube.com/watch?v=vdG4aq7aN30,29.04.2020,YouTube,,0,,,,,1,0,,,1,
speech_0035.wav,6 consejos para tener éxito en tu clase virtual,,,48000,2,16,3,43,https://www.youtube.com/watch?v=b-9PqeP0bvs,29.04.2020,YouTube,,0,,,,,1,0,,,1,
speech_0036.wav,"Kamsá | ""Nday biyañ"" - Hugo Jamioy",,,48000,2,16,0,34,https://www.youtube.com/watch?v=v3ATXwi1W6M,14.05.2020,YouTube,,0,,,,,0,1,,,0,
speech_0037.wav,"Palenquero | ""Aló ku koko e bleo ku kane"" - Emelina ""La Burgo""",,,48000,2,16,60,24,https://www.youtube.com/watch?v=gDHP4I39VT4,14.05.2020,YouTube,,0,,,,,1,0,,,0,
speech_0038.wav,"Tanimuca | ""El mambe, el compañero del pensamiento"" - Pablo Tanimuca",,,48000,2,16,75,42,https://www.youtube.com/watch?v=lMXoUzDd0V8,14.05.2020,YouTube,,0,,,,,0,1,,,0,
speech_0039.wav,Wayuunaiki | Sü'i - Análida Epínayu,,,48000,2,16,55,52,https://www.youtube.com/watch?v=oLjVsE_ZI34,14.05.2020,YouTube,,0,,,,,1,0,,,0,
speech_0040.wav,"Wayuunaki | ""Wale'eket"" - Antonia Epínayu",,,48000,2,16,72,28,https://www.youtube.com/watch?v=Cx5W703G2VQ,14.05.2020,YouTube,,0,,,,,1,0,,,0,
vf_0001.wav,Luna roja,bambuco,,48000,2,16,21,50,https://www.youtube.com/watch?v=6J_G1mvqnUg,21.04.2020,YouTube,,4,1,0,1,0,0,2,0,,1,Silva y Villalba
vf_0002.wav,Campesina Santandereana,bambuco,,48000,2,16,12,28,https://www.youtube.com/watch?v=zEMdEJwFUD8,21.04.2020,YouTube,,4,1,0,1,0,0,2,0,,1,Silva y Villalba
vf_0003.wav,Pescador lucero y rio,pasillo,,48000,2,16,46,65,https://www.youtube.com/watch?v=xub5-CgOumA,21.04.2020,YouTube,,4,1,0,1,0,0,2,0,,1,Silva y Villalba
vf_0004.wav,Soy boyacense,bambuco,,48000,2,16,19,62,https://www.youtube.com/watch?v=VAgZW0mq8A4,21.04.2020,YouTube,,4,1,0,1,0,0,2,0,,1,Silva y Villalba
vf_0005.wav,Cenizas al viento,waltz,,48000,2,16,19,44,https://www.youtube.com/watch?v=8NuI-JPucHw,21.04.2020,YouTube,,4,1,0,1,0,0,2,0,,1,Silva y Villalba
vf_0006.wav,Al sur,waltz,,48000,2,16,25,56,https://www.youtube.com/watch?v=rKPzRiiYhIc,21.04.2020,YouTube,,4,1,0,1,0,0,2,0,,1,Silva y Villalba
vf_0007.wav,Me llevaras en ti,pasillo,,48000,2,16,28,60,https://www.youtube.com/watch?v=k5IMEI0X_X4,21.04.2020,YouTube,,4,1,0,1,0,0,2,0,,1,Silva y Villalba
vf_0008.wav,Espumas,pasillo,,48000,2,16,30,59,https://www.youtube.com/watch?v=1h1O0N08BAY,21.04.2020,YouTube,,4,1,0,1,0,0,2,0,,1,Silva y Villalba
vf_0009.wav,Si pasas por San Gil,waltz,,48000,2,16,18,61,https://www.youtube.com/watch?v=d7MDlsKVq70,21.04.2020,YouTube,,?,1,0,1,0,0,2,0,,1,Silva y Villalba
vf_0010.wav,La sombrerera,,,48000,2,16,30,60,https://www.youtube.com/watch?v=zFaxhBRQTW4,21.04.2020,YouTube,,4,1,0,1,0,0,2,0,,1,Silva y Villalba
vf_0011.wav,Reclamo a dios,waltz,,48000,2,16,53,52,https://www.youtube.com/watch?v=1zMXIf8mS7Y,21.04.2020,YouTube,,4,1,0,1,0,0,2,0,,1,Silva y Villalba
vf_0012.wav,Lejos de ti,Bambuco,,48000,2,16,73,52,https://www.youtube.com/watch?v=ogCwcofm2KU,24.04.2020,YouTube,,4,1,1,1,0,1,0,0,,1,Niyireth Alarcon
vf_0013.wav,No digas la palabra adios,Bambuco,,48000,2,16,31,55,https://www.youtube.com/watch?v=lbzCJ6F59XM,24.04.2020,YouTube,,5,1,1,1,1,1,0,0,,1,Niyireth Alarcon
vf_0014.wav,Como nosotros,Bambuco,,48000,2,16,22,61,https://www.youtube.com/watch?v=fstiXbku-kI,24.04.2020,YouTube,,4 (violín),1,0,0,0,1,0,1,,1,Niyireth Alarcon
vf_0015.wav,Cancion del vagabundo,Bambuco,,48000,2,16,87,44,https://www.youtube.com/watch?v=hYwkxZ4_mLc,24.04.2020,YouTube,,3,1,0,1,0,1,0,0,,1,Niyireth Alarcon
vf_0016.wav,Como si fuera facil,pasillo,,48000,2,16,27,46,https://www.youtube.com/watch?v=g-6pTh-MIGc,24.04.2020,YouTube,,4,1,1,1,0,1,0,0,,1,Niyireth Alarcon
vf_0017.wav,Final,pasillo,,48000,2,16,36,46,https://www.youtube.com/watch?v=Hwqtm2NHFdw,24.04.2020,YouTube,,5,1,1,1,1,1,0,0,,1,Niyireth Alarcon
vf_0018.wav,Bambuco,bambuco,,48000,2,16,72,25,https://www.youtube.com/watch?v=DAVzTxyuc0A,24.04.2020,YouTube,,6,1,1,1,1,1,0,1,,1,Cecilia Todd
vf_0019.wav,Besos y cerezas,,,48000,2,16,19,36,https://www.youtube.com/watch?v=LAkN5V0WTdg,27.04.2020,YouTube,,4,2,0,0,0,0,2,0,,1,Dueto de Antaño
vf_0020.wav,Pueblito viejo,waltz,,48000,2,16,56,55,https://www.youtube.com/watch?v=x2cjU5t6zGw,27.04.2020,YouTube,,5,2,0,0,1,0,2,0,,1,Dueto de Antaño
vf_0021.wav,Senderito de amor,,,48000,2,16,33,38,https://www.youtube.com/watch?v=ky3PMTJcGlQ,27.04.2020,YouTube,,4,2,0,0,0,0,2,0,,1,Dueto de Antaño
vf_0022.wav,Caña numero uno,,,48000,2,16,52,42,https://www.youtube.com/watch?v=whOoUxJCeMw,27.04.2020,YouTube,,6,1,0,1,1,0,2,1,,1,Dueto Lara y Acosta
vf_0023.wav,Tierra caliente,bambuco,,48000,2,16,52,47,https://www.youtube.com/watch?v=3x8xLv-exqo,27.04.2020,YouTube,,6,1,0,1,1,0,2,1,,1,Dueto Lara y Acosta
vf_0024.wav,Tupinamba,danza,,48000,2,16,16,37,https://www.youtube.com/watch?v=OVwRVjJa3oQ,27.04.2020,YouTube,,5,1,0,1,1,0,2,0,,1,Dueto Lara y Acosta
vf_0025.wav,Aguardiente de caña,bambuco,,48000,2,16,101,36,https://www.youtube.com/watch?v=vin4GEZg3Hs,27.04.2020,YouTube,,5,1,0,1,1,0,2,0,,1,Dueto Tiscaya
vf_0026.wav,Las margaritas (Letra),Bambuco,,48000,2,16,53,36,https://www.youtube.com/watch?v=ydymvhnsKbI,27.04.2020,YouTube,,4,1,0,1,0,0,2,0,,1,Garzon y Collazos
